Driver,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
SAR,15.0,0 days 00:01:37.594000,5.0,HARD,2.0,97.594
SAR,16.0,0 days 00:01:41.370000,6.0,HARD,2.0,101.37
SAR,17.0,0 days 00:01:39.758000,7.0,HARD,2.0,99.758
SAR,18.0,0 days 00:01:38.077000,8.0,HARD,2.0,98.077
SAR,19.0,0 days 00:01:37.742000,9.0,HARD,2.0,97.742
SAR,20.0,0 days 00:01:37.820000,10.0,HARD,2.0,97.82
SAR,21.0,0 days 00:01:38.009000,11.0,HARD,2.0,98.009
SAR,22.0,0 days 00:01:37.728000,12.0,HARD,2.0,97.728
SAR,23.0,0 days 00:01:37.621000,13.0,HARD,2.0,97.621
SAR,24.0,0 days 00:01:39.437000,14.0,HARD,2.0,99.437
SAR,25.0,0 days 00:01:39.093000,15.0,HARD,2.0,99.093
SAR,26.0,0 days 00:01:37.859000,16.0,HARD,2.0,97.859
SAR,27.0,0 days 00:01:38.288000,17.0,HARD,2.0,98.288
SAR,28.0,0 days 00:01:40.535000,18.0,HARD,2.0,100.535
SAR,30.0,0 days 00:01:35.715000,2.0,HARD,3.0,95.715
SAR,31.0,0 days 00:01:36.713000,3.0,HARD,3.0,96.713
SAR,32.0,0 days 00:01:36.563000,4.0,HARD,3.0,96.563
SAR,33.0,0 days 00:01:37.433000,5.0,HARD,3.0,97.433
SAR,34.0,0 days 00:01:36.475000,6.0,HARD,3.0,96.475
SAR,35.0,0 days 00:01:36.859000,7.0,HARD,3.0,96.859
SAR,36.0,0 days 00:01:36.462000,8.0,HARD,3.0,96.462
SAR,37.0,0 days 00:01:36.785000,9.0,HARD,3.0,96.785
SAR,38.0,0 days 00:01:36.732000,10.0,HARD,3.0,96.732
SAR,39.0,0 days 00:01:37.016000,11.0,HARD,3.0,97.016
SAR,40.0,0 days 00:01:39.817000,12.0,HARD,3.0,99.817
SAR,42.0,0 days 00:01:34.735000,2.0,SOFT,4.0,94.735
SAR,43.0,0 days 00:01:35.001000,3.0,SOFT,4.0,95.001
SAR,44.0,0 days 00:01:35.130000,4.0,SOFT,4.0,95.13
SAR,45.0,0 days 00:01:35.333000,5.0,SOFT,4.0,95.333
SAR,46.0,0 days 00:01:35.939000,6.0,SOFT,4.0,95.939
SAR,47.0,0 days 00:01:36.729000,7.0,SOFT,4.0,96.729
SAR,48.0,0 days 00:01:35.688000,8.0,SOFT,4.0,95.688
SAR,49.0,0 days 00:01:35.590000,9.0,SOFT,4.0,95.59
SAR,50.0,0 days 00:01:35.660000,10.0,SOFT,4.0,95.66
SAR,51.0,0 days 00:01:35.972000,11.0,SOFT,4.0,95.972
SAR,52.0,0 days 00:01:35.987000,12.0,SOFT,4.0,95.987
SAR,53.0,0 days 00:01:36.088000,13.0,SOFT,4.0,96.088
SAR,54.0,0 days 00:01:39.614000,14.0,SOFT,4.0,99.614
SAR,55.0,0 days 00:01:36.209000,15.0,SOFT,4.0,96.209
